日期,竞品名,项目名称,中标金额(万元),采购单位,省份,信息来源,备注
2026-07-23,中左科技（内蒙古）有限公司,察哈尔右翼前旗黄旗海小学智慧教育信息化建设中标（成交）结果公告,待核实,待核实,内蒙古自治区,https://www.ggzy.gov.cn/information/deal/html/b/150000/0202/20260723/001571fa858884004069997aac3a17224bf5.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；L2状态=无金额字段；金额原文=否
2026-07-23,青岛博聚源实业有限公司,青岛市黄岛区教育和体育局嘉陵江东路小学内配所需校园信息化设备项目中标公告,141.21,待核实,山东省,https://www.ggzy.gov.cn/information/deal/html/b/370000/0202/20260723/0037e18f8950d9c9421fbd1e42ccadf83e32.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=1412061.0
2026-07-23,中广（绍兴柯桥）有线信息网络有限公司,浙江金邦工程管理咨询有限公司关于平水镇小学人工智能课堂项目中标(成交)结果公告,85.0,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260723/0033435fd1fa47e444b086b61eb5f7f9a8ca.html,A口径L2精读；主品类=人工智能；证据等级=A（平台原始公告）；金额原文=总价：850000（元）
2026-07-23,浙江宝兴智慧城市建设有限公司,宁波至正项目管理咨询有限公司关于江北区中小学智慧黑板采购项目中标结果公告,215.45,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260723/0033f66c9ffd57004c238cc0d8a141d9dd62.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=报价：人民币2154460元
2026-07-23,宁波市甬立欣和信息系统工程有限公司,宁波至正项目管理咨询有限公司关于江北区中小学智慧黑板采购项目中标结果公告,204.69,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260723/0033f66c9ffd57004c238cc0d8a141d9dd62.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=报价：人民币2046920元
2026-07-23,嘉兴市金穗信息技术有限公司,嘉兴市公共资源交易中心关于嘉兴市双溪湖实验小学信息化装备采购项目中标(成交)结果公告,208.07,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260723/0033282fe806f7724a9983de49f91239011b.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=投标报价：2080683（元）
2026-07-22,中国电信股份有限公司,黄冈中学附属小学教师办公电脑及多媒体教室设备采购项目中标结果公告,待核实,待核实,湖北省,https://www.ggzy.gov.cn/information/deal/html/b/420000/0202/20260722/0042a14ad597b5654097987d918aafddffe9.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-22,中电鸿信信息科技有限公司,【铜】徐州市铜山区教育局中小学考试机房计算机项目公开招标中标公告采购包2,239.25,待核实,江苏省,https://www.ggzy.gov.cn/information/deal/html/b/320000/0202/20260722/003239e133539ad34e93834b5a17ded2e1cd.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=2392500元
2026-07-22,中电鸿信信息科技有限公司,【铜】徐州市铜山区教育局中小学考试机房计算机项目公开招标中标公告采购包1,239.25,待核实,江苏省,https://www.ggzy.gov.cn/information/deal/html/b/320000/0202/20260722/003223eb7740151442e3b16e090c05ee4cab.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=2392500元
2026-07-22,中国移动通信集团广东有限公司东莞分公司,东莞市松山湖第一小学增加信息化配套设备采购项目（二期）结果公告,145.97,待核实,广东省,https://www.ggzy.gov.cn/information/deal/html/b/440000/0202/20260722/00448b2551b422734952a2896da0c4cf2e8a.html,"A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=1,459,680.00元"
2026-07-22,金华合创科技有限公司,金华市政府采购中心关于金华市志和小学计算机教室采购项目中标(成交)结果公告,31.79,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260722/0033540771e98b4e4f1a8541d270c73d082d.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=总价：317860（元）
2026-07-22,江西平梵鸭文化传媒有限公司,江西东诚招标咨询有限公司关于临川区罗湖镇中心小学新建综合楼装备信息化建设设备采购项目（招标编号：JXDC2026-G04）公开招标采购结果公示,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260722/0036d87a79ca4b2043eb8d0fbe94ae50980e.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-21,宁夏兴业智恒科技有限公司,宁夏银川市二十一小学智慧黑板设备采购项目中标公告,145.8,待核实,宁夏回族自治区,https://www.ggzy.gov.cn/information/deal/html/b/640000/0202/20260721/00646c095fbfae4840198be35d622bf149fe.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=1458000
2026-07-21,河北始勤科技有限公司,巨鹿县育红小学办公信息化设备采购项目（二次）中标公告,47.36,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260721/0013b778d73838ea4f8ab6b917833a6bcfea.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=中标金额： 473605.00元
2026-07-21,黄冈市峰晟网络科技有限公司,黄冈中学附属小学智慧黑板采购项目中标结果公告,待核实,待核实,湖北省,https://www.ggzy.gov.cn/information/deal/html/b/420000/0202/20260721/0042fcf9644d8ce54c3dafc7362bc4ad7010.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-21,陕西关天大数据有限责任公司,宝鸡第一中学附属小学体音美器材、图书、课桌椅、信息化设备采购结果公告,56.6,待核实,陕西省,https://www.ggzy.gov.cn/information/deal/html/b/610000/0202/20260721/0061cfb5f2ed3eb040c4a97ff0c419b0bb06.html,"A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=566,000.00元"
2026-07-21,金华依云智慧科技有限公司,金华市政府采购中心武义县分中心关于武义县继续教育中心2026年武义县中小学多媒体项目中标(成交)结果公告,98.12,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260721/00337dfe11649328454a874e34a254d562ed.html,A口径L2精读；主品类=培训；证据等级=A（平台原始公告）；金额原文=总价：981160（元）
2026-07-21,浙江学行教育科技有限公司,嵊州市力标招标代理有限公司关于嵊州市2026年下半年中小学教师专业发展培训项目中标(成交)结果公告,29.97,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260721/0033fbfa320f59ed43d7a6673de840ea8c91.html,A口径L2精读；主品类=培训；证据等级=A（平台原始公告）；金额原文=投标报价：299700（元）
2026-07-21,北京继教网教育科技发展有限公司,嵊州市力标招标代理有限公司关于嵊州市2026年下半年中小学教师专业发展培训项目中标(成交)结果公告,16.02,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260721/0033fbfa320f59ed43d7a6673de840ea8c91.html,A口径L2精读；主品类=培训；证据等级=A（平台原始公告）；金额原文=投标报价：160200（元）
2026-07-21,中国电信股份有限公司,赣州华昇咨询管理有限责任公司关于江西省兴国县教育体育局兴国县第九中学附属小学金叶二小网络、会议室、录播教室及报告厅设备采购项目（项目编号：GZHS2026-XG-G001）电子化公开招标的中标结果公告,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260721/00361f3d841f049c4028bfa3035d178cab87.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-20,安徽智慧皆成数字技术有限公司,天津市和平区教师发展中心 2026年和平区小学及职校学业质量监测运维服务项目 (项目编号:TJHP-2026-D-0028)成交公告,0.01,待核实,天津市,https://www.ggzy.gov.cn/information/deal/html/b/120000/0202/20260720/001210f6d83a406d454ea12bb90f355bf4f8.html,A口径L2精读；主品类=教研；证据等级=A（平台原始公告）；金额原文=83.75
2026-07-20,绵竹市巨川科技有限公司,绵竹市紫岩小学校美育楼计算机教室设备采购项目(二次)中标（成交）结果公告,64.7,待核实,四川省,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260720/00514859660487704e25b36ebbf2395d3661.html,"A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=647,000.00元"
2026-07-20,北京贝能达智控科技有限公司,石景山区银河小学信息化基础设施改造项目中标公告,195.0,待核实,北京,https://www.ggzy.gov.cn/information/deal/html/b/110000/0202/20260720/001189eb1be75b6342c087dab5422de2d451.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=195 万元
2026-07-20,长烽数智科技（山东）有限公司,赣州市启航招标代理有限公司关于江西省兴国县教育体育局兴国县第九中学附属小学金叶二小教学一体机、办公电脑及学生机房、教学仪器项目（项目编号：GZQH2026-XG-G006）电子化公开招标结果公告,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260720/00360c34f564d1ae4ed5a4e0998296f2884f.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-24,北京中诚佳汇科技有限公司,吐鲁番市托克逊县改善普通高中学校办学条件信息化设备采购项目-信息化设备中标(成交)结果公告,339.02,待核实,新疆维吾尔自治区,https://www.ggzy.gov.cn/information/deal/html/b/650000/0202/20260724/006588541baa26034159bd1ebc27c4814d49.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=报价：3390186.18（元）
2026-07-24,福建广电网络集团股份有限公司厦门分公司,厦门双十中学金海分校综合布线、安防设备及广播等信息化建设结果公告（采购包1）,246.54,待核实,福建省,https://www.ggzy.gov.cn/information/deal/html/b/350000/0202/20260724/003563762601b1de43c281da85a360c5d182.html,"A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=2,465,382.00元"
2026-07-24,中国电信股份有限公司,河池市金城江区2022年教育攻坚项目—金城江区第八初级中学教育信息化设备采购工程中标结果公告（项目编号：HCZB2026-G1-009-GXDZ）,1928.86,待核实,广西壮族自治区,https://www.ggzy.gov.cn/information/deal/html/b/450000/0202/20260724/00454273ad7141e04660bab7b784c0ec4c89.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=中标金额：壹仟玖佰贰拾捌万捌仟陆佰贰拾柒元壹角陆分（￥ 19288627.16 
2026-07-24,四川视明志成科技有限公司,西昌市川兴中学智慧黑板采购项目中标（成交）结果公告,39.48,待核实,四川省,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260724/00511a4de131b9ad4911addd09a427e181fa.html,"A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=394,800.00元"
2026-07-24,新疆奥智达电子科技有限公司,玛纳斯县第三中学多功能厅LED屏、音响灯光及辅助设施及学生教室护眼灯采购项目中标(成交)结果公告,28.53,待核实,新疆维吾尔自治区,https://www.ggzy.gov.cn/information/deal/html/b/650000/0202/20260724/006584a074eeb1434495829093da0d128d42.html,A口径L2精读；主品类=大屏；证据等级=A（平台原始公告）；金额原文=报价：285300（元）
2026-07-24,广州美盈智能科技有限公司,东莞湾区中学鸿蒙教学一体机及办公电脑采购项目结果公告,328.02,待核实,广东省,https://www.ggzy.gov.cn/information/deal/html/b/440000/0202/20260724/0044aed79c78e0f549839c235a5ba4bd59c5.html,"A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=3,280,200.00元"
2026-07-24,宁夏新华新文化实业有限公司,中卫市第三中学教育数字化揭榜挂帅数据赋能规模化因材教项目中标公告,79.9,待核实,宁夏回族自治区,https://www.ggzy.gov.cn/information/deal/html/b/640000/0202/20260724/00645ab33f88688843869397dbcf72beadcb.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=799000.00
2026-07-24,濮阳市辉腾网络科技有限公司,濮阳市华龙区高级中学采购教室多媒体及空调设备项目一标段成交公告,69.66,待核实,河南省,https://www.ggzy.gov.cn/information/deal/html/b/410000/0202/20260724/00413c9091c8793d42efa794636c898f6002.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=696600.00
2026-07-24,内蒙古行与知教育科技有限公司,乌兰浩特市第七中学信息化设备采购(二次)中标（成交）结果公告,待核实,待核实,内蒙古自治区,https://www.ggzy.gov.cn/information/deal/html/b/150000/0202/20260724/00155b779670938549c48c6d343986a7f37f.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；L2状态=无金额字段；金额原文=否
2026-07-24,中国移动通信集团四川有限公司德阳分公司,绵竹中学初中部绵竹市城东中学计算机网络教室和教学用计算机采购中标（成交）结果公告,269.42,待核实,四川省,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260724/0051b295a3770ae74aeebf9230a7533bb968.html,"A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=2,694,240.00元"
2026-07-24,哈尔滨确然科技有限公司,通榆县第一中学校智慧校园（校园食品安全管理软硬件）项目中标(成交)结果公告,41.7,待核实,吉林省,https://www.ggzy.gov.cn/information/deal/html/b/220000/0202/20260724/002271c2346214704896bb0678d24db091c8.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；金额原文=总价：417000（元）
2026-07-24,运城市联盛电子科技有限公司,绛县中学公开招标新建绛县中学校配套设施设备采购项目-报告厅及体育配套LED屏采购结果公告,85.83,待核实,山西省,https://www.ggzy.gov.cn/information/deal/html/b/140000/0202/20260724/0014295cb710ac294adbadaeb2b7174d04ac.html,A口径L2精读；主品类=大屏；证据等级=A（平台原始公告）；金额原文=报价：858286（元）
2026-07-24,中电鸿信信息科技有限公司,南通市小海中学交互式教学一体机（电子黑板）采购中标公告采购包1,34.67,待核实,江苏省,https://www.ggzy.gov.cn/information/deal/html/b/320000/0202/20260724/00325cd33187f9284e1688a2639351719e5b.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=346688元
2026-07-24,榆林市劲康体育用品销售有限公司,榆林市第十三中学智慧校园设备项目中标（成交）结果公告,252.94,待核实,陕西省,https://www.ggzy.gov.cn/information/deal/html/b/610000/0202/20260724/0061101ba5e056ae46e997bc55675f664fb8.html,"A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；金额原文=2,529,446.00元"
2026-07-24,中国移动通信集团吉林有限公司通化市分公司,柳河县第一中学2026年采购智慧黑板（6.1）中标(成交)结果公告,49.73,待核实,吉林省,https://www.ggzy.gov.cn/information/deal/html/b/220000/0202/20260724/0022f912748e69024aa2a96533e3313d7774.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=单价：497300（元），总价：497300（元）
2026-07-24,中国联合网络通信有限公司,南昌市政府采购中心关于南昌市第一中学华侨城校区台式计算机采购项目（项目编号：NCZFCG2026-0062）询价结果公示,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260724/003635b66162912f480f937115ce1bb04e68.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-24,中国联合网络通信有限公司,南昌市政府采购中心关于南昌市第一中学华侨城校区触控一体机采购项目（项目编号：NCZFCG2026-0063）询价采购公示,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260724/00361ed884eebe70489a938e691bb65d90a4.html,A口径L2精读；主品类=大屏；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,中国移动通信集团,十堰市高级中学十堰市高级中学智慧校园建设项目中标（成交）结果公告,待核实,待核实,湖北省,https://www.ggzy.gov.cn/information/deal/html/b/420000/0202/20260723/0042e7c69b185fb64c5b9e1a59d7625bbed8.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,邢台碧清环保科技有限公司,临西实验中学教学楼护眼灯采购项目及智能体验室建设项目一标段中标公告,24.77,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260723/00139d401ed9cb9b4d2cbb8025f1ec9e18e5.html,A口径L2精读；主品类=人工智能；证据等级=A（平台原始公告）；金额原文=中标金额： 247650.00元
2026-07-23,河北汇元教育装备科技有限公司,临西实验中学教学楼护眼灯采购项目及智能体验室建设项目二标段中标公告,25.88,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260723/0013af5bec99807a4c169886c38df9114677.html,A口径L2精读；主品类=人工智能；证据等级=A（平台原始公告）；金额原文=中标金额： 258757.88元
2026-07-23,北京竞业达数字系统科技有限公司,天津市西青区教育局机关 2026年天津市西青区张家窝镇体育文化地块中学智慧黑板购置安装项目 (项目编号:ZKGP-2026-C-0138)中标公告,0.01,待核实,天津市,https://www.ggzy.gov.cn/information/deal/html/b/120000/0202/20260723/001253c14d600b9249d8967ba7abc5c115fb.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=99.96
2026-07-23,山东爱建计算机科技有限公司,山东省淄博第十七中学新校内配采购项目-录播室、创新教室、标准化考场、图书馆中标结果公告,待核实,待核实,山东省,https://www.ggzy.gov.cn/information/deal/html/b/370000/0202/20260723/003759c4b9a1e1a643ec83455d4208a21ecf.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,维安（山东）数字技术有限公司,山东省淄博第十七中学新校内配采购项目-录播室、创新教室、标准化考场、图书馆中标结果公告,待核实,待核实,山东省,https://www.ggzy.gov.cn/information/deal/html/b/370000/0202/20260723/003759c4b9a1e1a643ec83455d4208a21ecf.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,山东晟熠电子技术有限公司,山东省淄博第十七中学新校内配采购项目-录播室、创新教室、标准化考场、图书馆中标结果公告,待核实,待核实,山东省,https://www.ggzy.gov.cn/information/deal/html/b/370000/0202/20260723/003759c4b9a1e1a643ec83455d4208a21ecf.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,张家口市科达数码科技有限公司,Z1307002602042001张家口市第九中学智慧校园专用设备购置项目结果公告,待核实,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260723/0013c7ecf186908343f2b0986d9f1f58ecd5.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-22,河北蓝益信息技术有限公司,Z1302002604572201唐山市龙泉中学龙华中学长宁校区信息化建设智慧黑板采购项目结果公告,待核实,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260722/0013a4a0b4629a3f40b093cebeef962e4567.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-22,泉州创佳赫信息科技有限公司,福建省邵武第一中学录播室建设项目结果公告（采购包1）,58.0,待核实,福建省,https://www.ggzy.gov.cn/information/deal/html/b/350000/0202/20260722/003535637a55e4804f5e8c58304aae956638.html,"A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=580,000.00元"
2026-07-22,内蒙古聚优数创科技有限公司,赤峰新城实验中学智能交互黑板及会议平板采购项目中标（成交）结果公告,待核实,待核实,内蒙古自治区,https://www.ggzy.gov.cn/information/deal/html/b/150000/0202/20260722/00158321bdc7439e4fa898e572b19605bffe.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段；金额原文=是
2026-07-22,天津双佳科技股份有限公司,天津市宝坻区第四中学 2026年宝坻区第四中学智慧黑板采购项目 (项目编号:WBZB2026A-011)中标公告,0.01,待核实,天津市,https://www.ggzy.gov.cn/information/deal/html/b/120000/0202/20260722/0012f333874921664f72941e4cb6c1abc43c.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=82.2
2026-07-22,杭州校云智慧科技有限公司,杭州市教育发展服务中心关于杭州高级中学钱塘学校配套信息化及专用教室设备（数智基座三期）中标(成交)结果公告,95.8,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260722/0033b375c850389e48c8ad3e40dada1d7eb6.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=开标总报价 ：958020（元）
2026-07-22,临沂程思商贸有限公司,沂水县第一中学北校区智慧黑板采购项目,待核实,待核实,山东省,https://www.ggzy.gov.cn/information/deal/html/b/370000/0202/20260722/00373af21583d4dc41c18dbd1da382aa3025.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-22,江西城泰建设科技有限公司,江西沁慧项目管理咨询有限公司关于南丰县第二中学学术报告厅及多功能教研中心等工程（第二次）（项目编号：JXQH-2026-08-01）竞争性磋商成交公示,待核实,待核实,江西省,https://www.ggzy.gov.cn/information/deal/html/b/360000/0202/20260722/003670c1e9a51afb4721ae9255810787e061.html,A口径L2精读；主品类=教研；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-21,石家庄慈宏商贸有限公司,河北省晋州市第二中学购置学生机房设备中标公告,54.0,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260721/001329485bd1d51d4eb3a66a4e6d7e0da69b.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=540000
2026-07-21,南通东来数码科技发展有限公司,启东市蝶湖中学2026年计算机教室设施设备采购与安装项目成交公告采购包1,28.79,待核实,江苏省,https://www.ggzy.gov.cn/information/deal/html/b/320000/0202/20260721/0032e242db595dd44fc8b3b6d78e1535ca38.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=287870元
2026-07-21,中拓众创（河北）建设工程有限公司,涉县第二中学机电实训室、学科教研中心及宿舍楼提升改造工程 竞争性磋商中标公告,待核实,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260721/0013ae8be067cd6f41ac8eefb7a2d07f418b.html,A口径L2精读；主品类=教研；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-21,成都数智凯创科技有限公司,乐山市第七中学电子白板采购项目中标（成交）结果公告,179.8,待核实,四川省,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260721/0051a579e9f8f7854cdc93e95feae87c1718.html,"A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；金额原文=1,798,000.00元"
2026-07-21,中国移动通信集团浙江有限公司温州分公司,浙江中正工程项目管理有限公司关于苍南县第二高级中学监控改造及智慧校园采购项目中标(成交)结果公告,84.87,待核实,浙江省,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260721/0033d796972010f14ab2a084bc4264f54279.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；金额原文=总价：848697（元）
2026-07-20,中国移动通信集团广东有限公司,广东仲元中学莲花湾学校信息化设备采购项目结果公告,98.78,待核实,广东省,https://www.ggzy.gov.cn/information/deal/html/b/440000/0202/20260720/0044976c2419ace24b48a0e2fbdf341a499a.html,"A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=987,770.00元"
